designacao,cre,alf_le_resultado,alf_le_meta_2026,alf_le_crescimento_esperado,alf_mat_resultado,alf_mat_meta_2026,alf_mat_crescimento_esperado,iderio_4_resultado,iderio_4_meta_2026,iderio_4_crescimento_esperado,iderio_5_resultado,iderio_5_meta_2026,iderio_5_crescimento_esperado,indicador_rendimento_ai_resultado,indicador_rendimento_ai_meta_2026,indicador_rendimento_ai_crescimento_esperado,iderio_8_resultado,iderio_8_meta_2026,iderio_8_crescimento_esperado,iderio_9_resultado,iderio_9_meta_2026,iderio_9_crescimento_esperado,indicador_rendimento_af_resultado,indicador_rendimento_af_meta_2026,indicador_rendimento_af_crescimento_esperado
206016,2,64.0,69.0,5.0,60.0,64.0,4.0,4.9,5.5,0.6,6.6,6.9,0.3,,,,,,,,,,,,
206017,2,88.0,89.0,1.0,99.0,99.0,0.0,,,,,,,1.0,0.99,0.0,,,,,,,,,
206018,2,71.0,75.0,4.0,97.0,97.0,0.0,5.6,5.9,0.3,6.7,7.0,0.3,,,,,,,,,,,,
206019,2,,,,,,,,,,,,,,,,5.3,5.4,0.1,5.4,5.7,0.3,,,
206020,2,,,,,,,,,,,,,,,,4.3,4.9,0.6,5.1,5.6,0.5,,,
206021,2,,,,,,,,,,,,,,,,4.5,5.0,0.5,4.9,5.5,0.6,,,
206022,2,94.0,94.0,0.0,97.0,97.0,0.0,5.9,6.1,0.2,6.7,7.0,0.3,,,,,,,,,,,,
206023,2,57.0,63.0,6.0,55.0,60.0,5.0,4.9,5.5,0.6,5.5,6.2,0.7,,,,,,,,,,,,
206024,2,77.0,80.0,3.0,56.0,60.0,4.0,5.6,6.0,0.4,6.2,6.8,0.6,,,,,,,,,,,,
206501,2,43.0,51.0,8.0,64.0,68.0,4.0,5.4,5.9,0.5,5.3,6.1,0.8,,,,,,,,,,,,
206502,2,58.0,64.0,6.0,64.0,68.0,4.0,5.6,5.9,0.3,6.3,6.7,0.4,,,,,,,,,,,,
208001,2,60.0,65.0,5.0,47.0,60.0,13.0,5.3,5.8,0.5,6.4,6.8,0.4,,,,,,,,,,,,
208002,2,93.0,93.0,0.0,100.0,100.0,0.0,5.9,6.1,0.2,6.4,6.8,0.4,,,,4.6,5.0,0.4,4.7,5.3,0.6,,,
208003,2,,,,,,,,,,,,,,,,4.0,4.7,0.7,4.4,5.1,0.7,,,
208004,2,,,,,,,,,,,,,,,,5.0,5.2,0.2,4.9,5.4,0.5,,,
208005,2,58.0,64.0,6.0,85.0,87.0,2.0,,,,,,,1.0,0.99,0.0,,,,,,,,,
208006,2,98.0,98.0,0.0,90.0,91.0,1.0,6.0,6.1,0.1,5.8,6.5,0.7,,,,,,,,,,,,
208007,2,80.0,82.0,2.0,87.0,89.0,2.0,4.9,5.5,0.6,6.7,7.0,0.3,,,,5.1,5.3,0.2,5.4,5.7,0.3,,,
208008,2,84.0,86.0,2.0,75.0,78.0,3.0,6.5,6.2,0.0,6.5,6.9,0.4,,,,,,,,,,,,
208009,2,78.0,81.0,3.0,76.0,79.0,3.0,4.9,5.5,0.6,6.0,6.5,0.5,,,,4.6,5.1,0.5,4.9,5.5,0.6,,,
208010,2,64.0,69.0,5.0,71.0,74.0,3.0,4.3,4.9,0.6,5.1,6.1,1.0,,,,3.3,4.1,0.8,3.8,4.8,1.0,,,
208011,2,77.0,80.0,3.0,100.0,100.0,0.0,4.2,4.8,0.6,5.1,6.0,0.9,,,,,,,,,,,,
208012,2,,,,,,,,,,,,,,,,5.0,5.2,0.2,5.0,5.5,0.5,,,
208013,2,87.0,88.0,1.0,91.0,92.0,1.0,5.4,5.9,0.5,6.7,7.0,0.3,,,,,,,,,,,,
208014,2,71.0,75.0,4.0,60.0,64.0,4.0,5.2,5.7,0.5,,,,,,,,,,,,,,,
208016,2,62.0,67.0,5.0,84.0,86.0,2.0,6.2,6.2,0.0,7.5,7.5,0.0,,,,,,,,,,,,
208017,2,24.0,50.0,26.0,20.0,60.0,40.0,5.3,5.8,0.5,5.4,6.1,0.7,,,,3.7,4.5,0.8,3.0,4.0,1.0,,,
208018,2,90.0,91.0,1.0,89.0,90.0,1.0,6.2,6.2,0.0,6.1,6.6,0.5,,,,,,,,,,,,
208020,2,76.0,79.0,3.0,94.0,95.0,1.0,5.9,6.1,0.2,6.6,6.9,0.3,,,,,,,,,,,,
